"","Count","Words"
"in one of the",468,"in one of the"
"you have to be",468,"you have to be"
"what are you doing",467,"what are you doing"
"had a lot of",466,"had a lot of"
"in new york city",465,"in new york city"
"did you know that",465,"did you know that"
"i'm going to be",464,"i'm going to be"
"thought it would be",462,"thought it would be"
"in the back of",461,"in the back of"
"that awkward moment when",460,"that awkward moment when"
"should be able to",459,"should be able to"
"one of the few",459,"one of the few"
"it would have been",457,"it would have been"
"this is not a",457,"this is not a"
"thanks for the ff",457,"thanks for the ff"
"i don't have a",456,"i don't have a"
"to be part of",455,"to be part of"
"looking forward to seeing",454,"looking forward to seeing"
"figure out how to",452,"figure out how to"
"i had no idea",451,"i had no idea"
"i'm looking forward to",451,"i'm looking forward to"
"you want to be",450,"you want to be"
"i don't think i",449,"i don't think i"
"find a way to",449,"find a way to"
"to be one of",448,"to be one of"
"in front of me",447,"in front of me"
"not be able to",444,"not be able to"
"hope all is well",443,"hope all is well"
"in the face of",441,"in the face of"
"it was a great",441,"it was a great"
"to get rid of",441,"to get rid of"
"and one of the",438,"and one of the"
"the first time since",438,"the first time since"
"you have to do",435,"you have to do"
"from time to time",434,"from time to time"
"a lot of things",432,"a lot of things"
"at a time when",432,"at a time when"
"the only way to",432,"the only way to"
"it was a good",431,"it was a good"
"and the rest of",431,"and the rest of"
"it will be a",430,"it will be a"
"at the bottom of",429,"at the bottom of"
"know what to do",427,"know what to do"
"the center of the",425,"the center of the"
"want to go to",423,"want to go to"
"in the process of",421,"in the process of"
"not going to be",420,"not going to be"
"as you can see",418,"as you can see"
"some of the most",418,"some of the most"
"to be on the",416,"to be on the"
"i want to go",416,"i want to go"
"to be a part",414,"to be a part"
"a chance to win",413,"a chance to win"
"you have a great",413,"you have a great"
"if you don't have",412,"if you don't have"
"in the name of",412,"in the name of"
"to make sure that",411,"to make sure that"
"over the course of",411,"over the course of"
"other side of the",411,"other side of the"
"some of the best",411,"some of the best"
"in the way of",410,"in the way of"
"in front of a",410,"in front of a"
"there's a lot of",409,"there's a lot of"
"in an effort to",408,"in an effort to"
"in and out of",407,"in and out of"
"and a lot of",407,"and a lot of"
"the time of the",407,"the time of the"
"if you have any",406,"if you have any"
"a couple of years",406,"a couple of years"
"for the sake of",406,"for the sake of"
"i just wanted to",405,"i just wanted to"
"looking forward to it",403,"looking forward to it"
"i really want to",401,"i really want to"
"from a.m to p.m",400,"from a.m to p.m"
"i thought i was",399,"i thought i was"
"don't want to be",398,"don't want to be"
"the rest of us",395,"the rest of us"
"you would like to",395,"you would like to"
"i thought i would",394,"i thought i would"
"with the help of",394,"with the help of"
"this time of year",393,"this time of year"
"it has been a",392,"it has been a"
"at the age of",392,"at the age of"
"one of the things",392,"one of the things"
"in a long time",390,"in a long time"
"the united states and",388,"the united states and"
"over and over again",388,"over and over again"
"end of the year",388,"end of the year"
"come up with a",387,"come up with a"
"if you are a",385,"if you are a"
"with a lot of",383,"with a lot of"
"i thought it would",383,"i thought it would"
"the end of this",383,"the end of this"
"going to be the",383,"going to be the"
"on the side of",382,"on the side of"
"a great deal of",381,"a great deal of"
"it was time to",381,"it was time to"
"all over the world",380,"all over the world"
"i think it is",380,"i think it is"
"contributed to this report",380,"contributed to this report"
"all of a sudden",377,"all of a sudden"
"don't get me wrong",377,"don't get me wrong"
"in the fourth quarter",377,"in the fourth quarter"
"in the wake of",376,"in the wake of"
"he was going to",376,"he was going to"
"is one of those",375,"is one of those"
"the rest of my",375,"the rest of my"
"for a few days",374,"for a few days"
"is a lot of",374,"is a lot of"
"had a chance to",372,"had a chance to"
"what to do with",371,"what to do with"
"the front of the",371,"the front of the"
"to be a good",371,"to be a good"
"the only one who",370,"the only one who"
"can't wait for the",369,"can't wait for the"
"that there is a",369,"that there is a"
"i want to see",369,"i want to see"
"on the back of",368,"on the back of"
"wait to see you",368,"wait to see you"
"when i was in",367,"when i was in"
"in the first quarter",367,"in the first quarter"
"i wish i was",367,"i wish i was"
"here are a few",366,"here are a few"
"get out of the",366,"get out of the"
"of one of the",366,"of one of the"
"a few of the",365,"a few of the"
"and i have to",365,"and i have to"
"for the shout out",365,"for the shout out"
"hope you had a",364,"hope you had a"
"all over the place",364,"all over the place"
"to figure out how",364,"to figure out how"
"a spokesman for the",364,"a spokesman for the"
"was supposed to be",360,"was supposed to be"
"be able to get",360,"be able to get"
"i was in the",359,"i was in the"
"once in a while",359,"once in a while"
"the first day of",359,"the first day of"
"a couple of days",356,"a couple of days"
"makes me want to",356,"makes me want to"
"said in an interview",356,"said in an interview"
"i went to the",355,"i went to the"
"the only thing that",354,"the only thing that"
"won't be able to",354,"won't be able to"
"it was the first",354,"it was the first"
"in the history of",354,"in the history of"
"fell in love with",353,"fell in love with"
"have no idea what",353,"have no idea what"
"out of the way",353,"out of the way"
"may or may not",352,"may or may not"
"in an attempt to",351,"in an attempt to"
"would love to see",351,"would love to see"
"the heart of the",350,"the heart of the"
"can i get a",349,"can i get a"
"can't wait to get",348,"can't wait to get"
"all the way to",347,"all the way to"
"don't know how to",346,"don't know how to"
"thanks for the shout",346,"thanks for the shout"
"i was trying to",345,"i was trying to"
"to the fact that",345,"to the fact that"
"so i decided to",344,"so i decided to"
"i am not a",343,"i am not a"
"the size of the",343,"the size of the"
"it was one of",342,"it was one of"
"one of the biggest",341,"one of the biggest"
"would you like to",341,"would you like to"
"for more than a",340,"for more than a"
"have been able to",339,"have been able to"
"more than a year",339,"more than a year"
"but i don't think",338,"but i don't think"
"a look at the",337,"a look at the"
"i can't wait for",337,"i can't wait for"
"at the start of",337,"at the start of"
"i love you so",337,"i love you so"
"to take advantage of",335,"to take advantage of"
"if you would like",335,"if you would like"
"there are a few",335,"there are a few"
"it was going to",334,"it was going to"
"a whole lot of",333,"a whole lot of"
"a lot of money",332,"a lot of money"
"you can see the",330,"you can see the"
"i want you to",329,"i want you to"
"thank you to all",329,"thank you to all"
"i think it was",328,"i think it was"
"the last time i",328,"the last time i"
"was a lot of",328,"was a lot of"
"i feel like i'm",327,"i feel like i'm"
"to the point where",326,"to the point where"
"we look forward to",325,"we look forward to"
"by the time i",325,"by the time i"
"i have to go",325,"i have to go"
"there is a lot",325,"there is a lot"
"and i want to",323,"and i want to"
"the edge of the",323,"the edge of the"
"i can tell you",322,"i can tell you"
"in the near future",322,"in the near future"
"i was a little",322,"i was a little"
"to one of the",321,"to one of the"
"want to be a",320,"want to be a"
"i have to admit",320,"i have to admit"
"a lot of work",320,"a lot of work"
"me know if you",319,"me know if you"
"to share with you",319,"to share with you"
"have to go to",319,"have to go to"
"do you have any",317,"do you have any"
"have to do is",316,"have to do is"
"was the first time",316,"was the first time"
"you know what i",316,"you know what i"
"i have to do",316,"i have to do"
"i don't even know",315,"i don't even know"
"out to be a",315,"out to be a"
"one of the greatest",314,"one of the greatest"
"there are plenty of",314,"there are plenty of"
"in the morning and",312,"in the morning and"
"the past few years",311,"the past few years"
"has nothing to do",311,"has nothing to do"
"as a way to",310,"as a way to"
"with some of the",310,"with some of the"
"what do you do",310,"what do you do"
"is part of the",310,"is part of the"
"hundreds of thousands of",309,"hundreds of thousands of"
"and the fact that",309,"and the fact that"
"the history of the",309,"the history of the"
"i think i have",309,"i think i have"
"what is going on",309,"what is going on"
"is supposed to be",309,"is supposed to be"
"the last couple of",308,"the last couple of"
"on the edge of",307,"on the edge of"
"thank you for following",307,"thank you for following"
"we were able to",306,"we were able to"
"the way to the",306,"the way to the"
"both sides of the",306,"both sides of the"
"love you so much",306,"love you so much"
"going to have a",305,"going to have a"
"and i have a",304,"and i have a"
"my husband and i",304,"my husband and i"
"in a couple of",304,"in a couple of"
"go back to the",304,"go back to the"
"on a daily basis",303,"on a daily basis"
"as long as you",302,"as long as you"
"have a chance to",302,"have a chance to"
"to keep up with",302,"to keep up with"
"are some of the",300,"are some of the"
"nice to meet you",299,"nice to meet you"
"a big fan of",298,"a big fan of"
"the middle of a",298,"the middle of a"
"the past two years",297,"the past two years"
"over the past few",297,"over the past few"
"don't know what to",297,"don't know what to"
"as long as i",297,"as long as i"
"would be able to",297,"would be able to"
"open to the public",295,"open to the public"
"i have a lot",295,"i have a lot"
"thanks for following me",295,"thanks for following me"
"in the bottom of",293,"in the bottom of"
"i am not sure",293,"i am not sure"
"i really need to",293,"i really need to"
"what is your favorite",293,"what is your favorite"
"for a chance to",292,"for a chance to"
"this is what i",292,"this is what i"
"and i have been",292,"and i have been"
"as far as i",291,"as far as i"
"the end of a",291,"the end of a"
"the vast majority of",291,"the vast majority of"
"would be a good",290,"would be a good"
"it is important to",289,"it is important to"
"to the end of",289,"to the end of"
"to say the least",289,"to say the least"
"let us know if",289,"let us know if"
"player of the year",288,"player of the year"
"in the same way",288,"in the same way"
"to the united states",288,"to the united states"
"let me tell you",288,"let me tell you"
"in the third quarter",288,"in the third quarter"
"thanks for the retweet",288,"thanks for the retweet"
"despite the fact that",287,"despite the fact that"
"happy mother's day to",287,"happy mother's day to"
"they are going to",286,"they are going to"
"the u.s department of",286,"the u.s department of"
"to the top of",286,"to the top of"
"in the hands of",286,"in the hands of"
"is not going to",286,"is not going to"
"thank you very much",286,"thank you very much"
"to look at the",285,"to look at the"
"is expected to be",285,"is expected to be"
"you just have to",285,"you just have to"
"make it to the",284,"make it to the"
"not being able to",284,"not being able to"
"thanks to everyone who",284,"thanks to everyone who"
"to figure out what",284,"to figure out what"
"tens of thousands of",283,"tens of thousands of"
"that there is no",283,"that there is no"
"have to worry about",282,"have to worry about"
"of some of the",282,"of some of the"
"be part of the",282,"be part of the"
"would have to be",282,"would have to be"
"to check out the",281,"to check out the"
"in the right direction",281,"in the right direction"
"i felt like i",281,"i felt like i"
"i am trying to",280,"i am trying to"
"rest of the world",280,"rest of the world"
"i think this is",280,"i think this is"
"those of us who",279,"those of us who"
"but i have to",279,"but i have to"
"for most of the",279,"for most of the"
"to be a great",279,"to be a great"
"it was just a",278,"it was just a"
"for more than years",278,"for more than years"
"what was going on",277,"what was going on"
"there is no way",277,"there is no way"
"happy mothers day to",277,"happy mothers day to"
"get a chance to",276,"get a chance to"
"do not want to",275,"do not want to"
"in the next few",275,"in the next few"
"i'm not sure if",273,"i'm not sure if"
"to learn how to",273,"to learn how to"
"that it would be",273,"that it would be"
"let me know what",273,"let me know what"
"back in the day",273,"back in the day"
"to deal with the",273,"to deal with the"
"but at the same",272,"but at the same"
"might be able to",272,"might be able to"
"i was a kid",272,"i was a kid"
"you can do it",272,"you can do it"
"if there is a",271,"if there is a"
"would have been a",270,"would have been a"
"it has to be",270,"it has to be"
"with the rest of",269,"with the rest of"
"middle of the night",269,"middle of the night"
"the next few days",269,"the next few days"
"if you're going to",269,"if you're going to"
"so i had to",268,"so i had to"
"something to do with",268,"something to do with"
"be able to do",268,"be able to do"
"the majority of the",268,"the majority of the"
"i wanted to be",267,"i wanted to be"
"for a few minutes",267,"for a few minutes"
"i have a feeling",266,"i have a feeling"
"with the exception of",266,"with the exception of"
"the first half of",266,"the first half of"
"one of the reasons",266,"one of the reasons"
"this is not the",266,"this is not the"
"i wanted to do",265,"i wanted to do"
"great to see you",265,"great to see you"
"you for the follow",265,"you for the follow"
"in a lot of",264,"in a lot of"
"not the only one",264,"not the only one"
"will be in the",264,"will be in the"
"has a lot of",263,"has a lot of"
"the most important thing",263,"the most important thing"
"to do the same",263,"to do the same"
"i hope you have",263,"i hope you have"
"one of the top",263,"one of the top"
"forward to seeing you",263,"forward to seeing you"
"to all of you",262,"to all of you"
"the course of the",261,"the course of the"
"was one of those",261,"was one of those"
"a few months ago",261,"a few months ago"
"seems to be a",260,"seems to be a"
"a few days ago",260,"a few days ago"
"to give it a",259,"to give it a"
"for all of us",259,"for all of us"
"am i the only",259,"am i the only"
"at the very least",259,"at the very least"
"what i want to",259,"what i want to"
"it is going to",259,"it is going to"
"in the long run",259,"in the long run"
"know what you think",259,"know what you think"
"to learn more about",258,"to learn more about"
"over the next few",258,"over the next few"
"have no idea how",258,"have no idea how"
"got a lot of",258,"got a lot of"
"please let me know",257,"please let me know"
"to check it out",257,"to check it out"
"the last few years",256,"the last few years"
"fall in love with",256,"fall in love with"
"we were going to",255,"we were going to"
"a trip to the",255,"a trip to the"
"this is a great",255,"this is a great"
"did not want to",255,"did not want to"
"to go to a",255,"to go to a"
"a result of the",255,"a result of the"
"for as long as",255,"for as long as"
"the head of the",254,"the head of the"
"to be the best",254,"to be the best"
"have the opportunity to",254,"have the opportunity to"
"you want to do",254,"you want to do"
"a copy of the",254,"a copy of the"
"keep up the good",254,"keep up the good"
"the power of the",253,"the power of the"
"that it was a",253,"that it was a"
"that this is a",253,"that this is a"
"i'm going to have",253,"i'm going to have"
"one of the many",253,"one of the many"
"in love with the",252,"in love with the"
"it's one of the",252,"it's one of the"
"and it was a",251,"and it was a"
"end of the month",251,"end of the month"
"more than a decade",251,"more than a decade"
"but in the end",251,"but in the end"
"take the time to",251,"take the time to"
"there will be no",250,"there will be no"
"rest of the day",250,"rest of the day"
"a good way to",250,"a good way to"
"you want me to",250,"you want me to"
"a friend of mine",249,"a friend of mine"
"is a good thing",249,"is a good thing"
"look forward to seeing",249,"look forward to seeing"
"the back of my",249,"the back of my"
"if you don't know",248,"if you don't know"
"i don't know about",248,"i don't know about"
"i am so excited",248,"i am so excited"
"looking forward to a",248,"looking forward to a"
"i love you too",248,"i love you too"
"the fact that he",247,"the fact that he"
"i think it's a",247,"i think it's a"
"as long as they",247,"as long as they"
"i would have to",246,"i would have to"
"at the expense of",246,"at the expense of"
"a long time ago",246,"a long time ago"
"thank you for all",246,"thank you for all"
"i need to be",246,"i need to be"
"i don't have any",246,"i don't have any"
"a wide range of",246,"a wide range of"
"going to be in",245,"going to be in"
"but it was a",245,"but it was a"
"the good news is",245,"the good news is"
"the only thing i",245,"the only thing i"
"on the verge of",245,"on the verge of"
"in the heart of",245,"in the heart of"
"i need to do",244,"i need to do"
"there are lots of",244,"there are lots of"
"to make up for",243,"to make up for"
"have the right to",243,"have the right to"
"how much i love",243,"how much i love"
"it is time to",243,"it is time to"
"in the center of",243,"in the center of"
"you want to see",242,"you want to see"
"and some of the",242,"and some of the"
"is the first time",241,"is the first time"
"i can't help but",241,"i can't help but"
"in item above pp",241,"in item above pp"
"on a regular basis",241,"on a regular basis"
"in the world of",241,"in the world of"
"in the last few",241,"in the last few"
"to say that i",241,"to say that i"
"as much as possible",241,"as much as possible"
"out of the house",240,"out of the house"
"really looking forward to",240,"really looking forward to"
"thanks for stopping by",240,"thanks for stopping by"
"would like to see",240,"would like to see"
"in the world and",240,"in the world and"
"up the good work",240,"up the good work"
"thought it was a",239,"thought it was a"
"to do with it",239,"to do with it"
"the last day of",239,"the last day of"
"to be in a",239,"to be in a"
"be sure to check",239,"be sure to check"
"can't wait to hear",239,"can't wait to hear"
"the state department of",239,"the state department of"
"you might want to",238,"you might want to"
"when you have a",238,"when you have a"
"in order to get",238,"in order to get"
"thanks for all the",238,"thanks for all the"
"i will have to",238,"i will have to"
"i feel like a",238,"i feel like a"
"i miss you too",238,"i miss you too"
"i love it when",237,"i love it when"
"all i can say",237,"all i can say"
"that i want to",237,"that i want to"
"i have to be",237,"i have to be"
"it is one of",237,"it is one of"
"incorporated in item above",236,"incorporated in item above"
"in the parking lot",236,"in the parking lot"
"to go out and",236,"to go out and"
"couple of weeks ago",236,"couple of weeks ago"
"at the center of",236,"at the center of"
"i just need to",235,"i just need to"
"think i'm going to",235,"think i'm going to"
"not a fan of",235,"not a fan of"
"i want to make",235,"i want to make"
"have to deal with",235,"have to deal with"
"thanks for the support",235,"thanks for the support"
"all you have to",234,"all you have to"
"for a lot of",234,"for a lot of"
"the size of a",234,"the size of a"
"have to be a",234,"have to be a"
"about percent of the",234,"about percent of the"
"it used to be",233,"it used to be"
"so that i can",233,"so that i can"
"and i had to",233,"and i had to"
"the second half of",232,"the second half of"
"that i have a",231,"that i have a"
"the story of the",231,"the story of the"
"i know i know",231,"i know i know"
"i came up with",230,"i came up with"
"from all over the",230,"from all over the"
"this is why i",230,"this is why i"
"more than percent of",230,"more than percent of"
"and i will be",230,"and i will be"
"up and down the",229,"up and down the"
"on behalf of the",229,"on behalf of the"
"the best part of",229,"the best part of"
"at the time i",228,"at the time i"
"it is hard to",228,"it is hard to"
"two and a half",228,"two and a half"
"want to make sure",228,"want to make sure"
"i need to go",228,"i need to go"
"you don't have a",227,"you don't have a"
"there is so much",227,"there is so much"
"a couple of times",227,"a couple of times"
"i hate it when",227,"i hate it when"
"have a hard time",227,"have a hard time"
"you need to do",227,"you need to do"
"had so much fun",227,"had so much fun"
"the day of the",227,"the day of the"
"at this point i",226,"at this point i"
"i just have to",226,"i just have to"
"in a large bowl",226,"in a large bowl"
"it was great to",226,"it was great to"
"the last two years",226,"the last two years"
"that would be a",226,"that would be a"
"as long as the",226,"as long as the"
"to find a way",226,"to find a way"
"to pick up the",225,"to pick up the"
"that i need to",225,"that i need to"
"you don't need to",225,"you don't need to"
"if you are not",225,"if you are not"
"i have a few",225,"i have a few"
"for some reason i",224,"for some reason i"
"am looking forward to",224,"am looking forward to"
"not to mention the",224,"not to mention the"
"you need to know",224,"you need to know"
"no such thing as",224,"no such thing as"
"this is a good",224,"this is a good"
"told the associated press",224,"told the associated press"
"you please follow me",224,"you please follow me"
"wait to see what",223,"wait to see what"
"the rest of your",223,"the rest of your"
"thank you to everyone",223,"thank you to everyone"
"awkward moment when you",223,"awkward moment when you"
"we had a great",222,"we had a great"
"at the heart of",222,"at the heart of"
"every now and then",222,"every now and then"
"this is a very",222,"this is a very"
"on one of the",222,"on one of the"
"to look forward to",222,"to look forward to"
"right in front of",222,"right in front of"
"i have to get",222,"i have to get"
"a little bit more",222,"a little bit more"
"but i don't know",221,"but i don't know"
"we would love to",221,"we would love to"
"you are looking for",221,"you are looking for"
"more than million in",221,"more than million in"
"if i had a",221,"if i had a"
"get a lot of",220,"get a lot of"
"going to try to",220,"going to try to"
"when it came to",220,"when it came to"
"martin luther king jr",220,"martin luther king jr"
"a big part of",220,"a big part of"
"of the things that",220,"of the things that"
"don't have to be",220,"don't have to be"
"to play in the",220,"to play in the"
"have to say that",219,"have to say that"
"with salt and pepper",219,"with salt and pepper"
"we have a lot",219,"we have a lot"
"to get into the",219,"to get into the"
"we would like to",219,"we would like to"
"from the university of",219,"from the university of"
"the first round of",219,"the first round of"
"i don't think it's",218,"i don't think it's"
"of the most important",218,"of the most important"
"we went to the",218,"we went to the"
"no matter how much",217,"no matter how much"
"for all of the",217,"for all of the"
"to find out what",217,"to find out what"
"i'm not sure what",217,"i'm not sure what"
"i was looking for",217,"i was looking for"
"there would be no",217,"there would be no"
"let me know when",217,"let me know when"
"for more information call",217,"for more information call"
"up in the morning",216,"up in the morning"
"a little more than",216,"a little more than"
"amazon services llc and",216,"amazon services llc and"
"if you are interested",216,"if you are interested"
"to see you there",216,"to see you there"
"day to all the",216,"day to all the"
"it's been a while",215,"it's been a while"
"has to do with",215,"has to do with"
"want it to be",215,"want it to be"
"but i have a",215,"but i have a"
"as a matter of",215,"as a matter of"
"anything to do with",215,"anything to do with"
"in a series of",215,"in a series of"
"the fact that we",215,"the fact that we"
"to hear from you",215,"to hear from you"
"the next few weeks",214,"the next few weeks"
"the fact that it",214,"the fact that it"
"i don't think it",214,"i don't think it"
"a good idea to",214,"a good idea to"
"i used to be",213,"i used to be"
"to catch up on",213,"to catch up on"
"are going to have",213,"are going to have"
"made it to the",213,"made it to the"
"time of the year",213,"time of the year"
"i want to know",213,"i want to know"
"to go to bed",212,"to go to bed"
"if you'd like to",212,"if you'd like to"
"and of course the",211,"and of course the"
"the winner of the",211,"the winner of the"
"did a great job",211,"did a great job"
"one of my favorites",211,"one of my favorites"
"be able to make",211,"be able to make"
"it needs to be",211,"it needs to be"
"on both sides of",211,"on both sides of"
"i had to do",211,"i had to do"
"in my life i",210,"in my life i"
"to hang out with",210,"to hang out with"
"the same time i",210,"the same time i"
"if you don't like",210,"if you don't like"
"all the time and",210,"all the time and"
"i didn't have to",210,"i didn't have to"
"of the year and",210,"of the year and"
"to let you know",210,"to let you know"
"year and a half",210,"year and a half"
"in the second quarter",210,"in the second quarter"
"s o to my",210,"s o to my"
"a very long time",209,"a very long time"
"the top of my",209,"the top of my"
"if you're looking for",209,"if you're looking for"
"the number of people",209,"the number of people"
"the president of the",209,"the president of the"
"to the rest of",209,"to the rest of"
"on top of that",208,"on top of that"
"believe it or not",208,"believe it or not"
"in a few weeks",208,"in a few weeks"
"it is not a",208,"it is not a"
"end of the world",208,"end of the world"
"i just had to",208,"i just had to"
"give it a try",208,"give it a try"
"just got back from",208,"just got back from"
"as soon as possible",207,"as soon as possible"
"it was nice to",207,"it was nice to"
"side of the road",207,"side of the road"
"i think i am",207,"i think i am"
"a huge fan of",207,"a huge fan of"
"to pay for the",207,"to pay for the"
"the quality of the",207,"the quality of the"
"that you have to",207,"that you have to"
"the face of the",207,"the face of the"
"it was a very",207,"it was a very"
"he said he was",207,"he said he was"
"have a great week",207,"have a great week"
"will be at the",207,"will be at the"
"more than a dozen",207,"more than a dozen"
"that i had to",206,"that i had to"
"will be the first",206,"will be the first"
"across the street from",206,"across the street from"
"i the only one",206,"i the only one"
"of the fact that",206,"of the fact that"
"a couple of months",206,"a couple of months"
"i don't think so",206,"i don't think so"
"could not be reached",206,"could not be reached"
"looking forward to your",206,"looking forward to your"
"had the opportunity to",205,"had the opportunity to"
"if you want a",205,"if you want a"
"this is the best",205,"this is the best"
"on the part of",205,"on the part of"
"that i have been",205,"that i have been"
"been one of the",205,"been one of the"
"said it was a",205,"said it was a"
"that i am not",204,"that i am not"
"once upon a time",204,"once upon a time"
"that i have to",204,"that i have to"
"as much as the",204,"as much as the"
"so that you can",204,"so that you can"
"would love to hear",204,"would love to hear"
"to go to school",204,"to go to school"
"one of the more",203,"one of the more"
"would be a great",203,"would be a great"
"thank you thank you",203,"thank you thank you"
"it's been a long",203,"it's been a long"
"if i want to",203,"if i want to"
"they were going to",203,"they were going to"
"to the point of",203,"to the point of"
"you want to know",202,"you want to know"
"we're going to have",202,"we're going to have"
"as long as it",202,"as long as it"
"you look at the",202,"you look at the"
"over the past year",202,"over the past year"
"you for the rt",202,"you for the rt"
"to see if i",201,"to see if i"
"now i have to",201,"now i have to"
"what it means to",201,"what it means to"
"i want to get",201,"i want to get"
"the best of the",201,"the best of the"
