"","Count","Words"
"the end of the",3941,"the end of the"
"at the end of",3414,"at the end of"
"the rest of the",3410,"the rest of the"
"for the first time",3090,"for the first time"
"thanks for the follow",2646,"thanks for the follow"
"at the same time",2594,"at the same time"
"one of the most",2160,"one of the most"
"is one of the",2133,"is one of the"
"when it comes to",2122,"when it comes to"
"is going to be",2064,"is going to be"
"in the middle of",1956,"in the middle of"
"to be able to",1860,"to be able to"
"going to be a",1760,"going to be a"
"if you want to",1669,"if you want to"
"i don't want to",1581,"i don't want to"
"one of the best",1445,"one of the best"
"thank you for the",1393,"thank you for the"
"thanks for the rt",1383,"thanks for the rt"
"can't wait to see",1360,"can't wait to see"
"in the united states",1349,"in the united states"
"i am going to",1274,"i am going to"
"thank you so much",1233,"thank you so much"
"by the end of",1196,"by the end of"
"i would like to",1181,"i would like to"
"it's going to be",1158,"it's going to be"
"for the rest of",1142,"for the rest of"
"the middle of the",1130,"the middle of the"
"the top of the",1124,"the top of the"
"a lot of people",1121,"a lot of people"
"i was going to",1111,"i was going to"
"was one of the",1110,"was one of the"
"on the other hand",1107,"on the other hand"
"i can't wait to",1092,"i can't wait to"
"one of my favorite",1090,"one of my favorite"
"as well as the",1087,"as well as the"
"a bit of a",992,"a bit of a"
"in front of the",940,"in front of the"
"the bottom of the",934,"the bottom of the"
"the first time in",929,"the first time in"
"have a lot of",919,"have a lot of"
"said in a statement",912,"said in a statement"
"to go to the",911,"to go to the"
"will be able to",908,"will be able to"
"i don't know what",893,"i don't know what"
"i would love to",891,"i would love to"
"at the university of",884,"at the university of"
"a member of the",879,"a member of the"
"for a long time",872,"for a long time"
"i wish i could",865,"i wish i could"
"what do you think",863,"what do you think"
"i want to be",857,"i want to be"
"you don't have to",850,"you don't have to"
"i don't know if",841,"i don't know if"
"i was able to",827,"i was able to"
"as much as i",824,"as much as i"
"going to have to",814,"going to have to"
"i just want to",796,"i just want to"
"in the first place",785,"in the first place"
"as part of the",781,"as part of the"
"was going to be",780,"was going to be"
"a little bit of",778,"a little bit of"
"i thought it was",768,"i thought it was"
"the back of the",764,"the back of the"
"as a result of",750,"as a result of"
"have a great day",742,"have a great day"
"are you going to",741,"are you going to"
"i have no idea",737,"i have no idea"
"i have to say",731,"i have to say"
"at the top of",721,"at the top of"
"i'm not going to",718,"i'm not going to"
"hope to see you",712,"hope to see you"
"nothing to do with",706,"nothing to do with"
"in the block of",695,"in the block of"
"for the most part",678,"for the most part"
"are going to be",677,"are going to be"
"have a great weekend",676,"have a great weekend"
"to get out of",674,"to get out of"
"as well as a",667,"as well as a"
"if you have a",661,"if you have a"
"i don't know how",660,"i don't know how"
"on my way to",660,"on my way to"
"most of the time",656,"most of the time"
"end of the day",656,"end of the day"
"the best way to",653,"the best way to"
"thanks so much for",652,"thanks so much for"
"there are so many",629,"there are so many"
"i look forward to",628,"i look forward to"
"looking forward to the",623,"looking forward to the"
"to be in the",622,"to be in the"
"on the other side",621,"on the other side"
"we are going to",615,"we are going to"
"a few years ago",611,"a few years ago"
"the beginning of the",606,"the beginning of the"
"be a part of",605,"be a part of"
"to do with the",604,"to do with the"
"as one of the",604,"as one of the"
"turned out to be",603,"turned out to be"
"in the form of",595,"in the form of"
"had a great time",593,"had a great time"
"in the midst of",587,"in the midst of"
"the fact that the",580,"the fact that the"
"i didn't want to",580,"i didn't want to"
"to go back to",578,"to go back to"
"it would be a",575,"it would be a"
"a lot of time",572,"a lot of time"
"you don't want to",572,"you don't want to"
"a lot of the",570,"a lot of the"
"i feel like i",567,"i feel like i"
"of the united states",566,"of the united states"
"let me know if",560,"let me know if"
"the first time i",551,"the first time i"
"as soon as i",551,"as soon as i"
"the other side of",548,"the other side of"
"there are a lot",546,"there are a lot"
"trying to figure out",546,"trying to figure out"
"hope you have a",546,"hope you have a"
"are a lot of",540,"are a lot of"
"a couple of weeks",538,"a couple of weeks"
"in a way that",538,"in a way that"
"thanks for the mention",537,"thanks for the mention"
"at the time of",536,"at the time of"
"do you have a",534,"do you have a"
"is one of my",534,"is one of my"
"this is one of",533,"this is one of"
"for those of you",527,"for those of you"
"the name of the",521,"the name of the"
"when i was a",520,"when i was a"
"the start of the",519,"the start of the"
"a few weeks ago",518,"a few weeks ago"
"to come up with",517,"to come up with"
"on the way to",514,"on the way to"
"be one of the",513,"be one of the"
"i wish i had",511,"i wish i had"
"there will be a",507,"there will be a"
"at the beginning of",504,"at the beginning of"
"this is going to",498,"this is going to"
"so much for the",498,"so much for the"
"in addition to the",495,"in addition to the"
"the side of the",495,"the side of the"
"i don't have to",494,"i don't have to"
"do you want to",494,"do you want to"
"in the case of",491,"in the case of"
"thank you for your",491,"thank you for your"
"a lot of fun",490,"a lot of fun"
"the fact that i",489,"the fact that i"
"to get back to",489,"to get back to"
"take a look at",488,"take a look at"
"executive director of the",488,"executive director of the"
"a part of the",487,"a part of the"
"the new york times",487,"the new york times"
"i need to get",487,"i need to get"
"in the second half",486,"in the second half"
"to take care of",484,"to take care of"
"i don't know why",481,"i don't know why"
"you so much for",481,"you so much for"
"this is the first",480,"this is the first"
"those of you who",479,"those of you who"
"a great way to",479,"a great way to"
"one of the first",479,"one of the first"
"on top of the",478,"on top of the"
"in the first half",476,"in the first half"
"for a couple of",472,"for a couple of"
"you are going to",472,"you are going to"
"in the first round",471,"in the first round"
"to get to the",470,"to get to the"
"as part of a",470,"as part of a"
"i want to do",470,"i want to do"
