"","Count","Words"
"pretty",19227,"pretty"
"already",19079,"already"
"real",18828,"real"
"set",18815,"set"
"read",18764,"read"
"working",18739,"working"
"took",18699,"took"
"million",18661,"million"
"once",18660,"once"
"try",18634,"try"
"percent",18584,"percent"
"food",18560,"food"
"music",18551,"music"
"second",18527,"second"
"must",18488,"must"
"job",18266,"job"
"there's",18235,"there's"
"story",18221,"story"
"point",18175,"point"
"makes",18153,"makes"
"trying",18128,"trying"
"called",17994,"called"
"different",17954,"different"
"top",17866,"top"
"under",17821,"under"
"run",17802,"run"
"actually",17781,"actually"
"public",17724,"public"
"coming",17606,"coming"
"police",17473,"police"
"wait",17425,"wait"
"nice",17385,"nice"
"least",17347,"least"
"everything",17132,"everything"
"far",17089,"far"
"kids",16913,"kids"
"weekend",16840,"weekend"
"anything",16818,"anything"
"business",16757,"business"
"nothing",16745,"nothing"
"bit",16637,"bit"
"together",16610,"together"
"four",16593,"four"
"maybe",16587,"maybe"
"started",16580,"started"
"later",16505,"later"
"stop",16449,"stop"
"soon",16426,"soon"
"head",16404,"head"
"county",16377,"county"
"room",16336,"room"
"open",16278,"open"
"name",16268,"name"
"friday",16247,"friday"
"person",16218,"person"
"children",16141,"children"
"believe",15933,"believe"
"win",15911,"win"
"wanted",15892,"wanted"
"early",15818,"early"
"past",15791,"past"
"ago",15782,"ago"
"course",15778,"course"
"small",15773,"small"
"s",15655,"s"
"change",15521,"change"
"kind",15420,"kind"
"white",15416,"white"
"water",15259,"water"
"tomorrow",15247,"tomorrow"
"post",15169,"post"
"group",15130,"group"
"twitter",15115,"twitter"
"company",15104,"company"
"myself",15055,"myself"
"care",15047,"care"
"anyone",15025,"anyone"
"st",14979,"st"
"check",14976,"check"
"less",14939,"less"
"including",14935,"including"
"minutes",14907,"minutes"
"able",14889,"able"
"talk",14798,"talk"
"party",14725,"party"
"case",14582,"case"
"guys",14569,"guys"
"almost",14427,"almost"
"friend",14423,"friend"
"saw",14403,"saw"
"month",14371,"month"
"girl",14263,"girl"
"hours",14196,"hours"
"u.s",14185,"u.s"
"others",14173,"others"
"center",14134,"center"
"side",14130,"side"
"news",14123,"news"
"full",14001,"full"
"probably",13995,"probably"
"ready",13901,"ready"
"isn't",13890,"isn't"
"hit",13885,"hit"
"along",13860,"along"
"i'd",13806,"i'd"
"support",13734,"support"
"president",13719,"president"
"black",13672,"black"
"young",13622,"young"
"idea",13620,"idea"
"months",13554,"months"
"asked",13529,"asked"
"hey",13527,"hey"
"blog",13517,"blog"
"seen",13496,"seen"
"office",13478,"office"
"watch",13474,"watch"
"amazing",13451,"amazing"
"im",13424,"im"
"awesome",13413,"awesome"
"games",13385,"games"
"heart",13361,"heart"
"line",13343,"line"
"however",13321,"however"
"using",13298,"using"
"five",13293,"five"
"whole",13264,"whole"
"wasn't",13263,"wasn't"
"they're",13211,"they're"
"mind",13207,"mind"
"fact",13146,"fact"
"often",13139,"often"
"several",13123,"several"
"remember",13119,"remember"
"comes",13101,"comes"
"local",13060,"local"
"true",13032,"true"
"students",13028,"students"
"face",13025,"face"
"watching",13015,"watching"
"car",12914,"car"
"mean",12867,"mean"
"taking",12866,"taking"
"half",12864,"half"
"number",12787,"number"
"weeks",12768,"weeks"
"hear",12701,"hear"
"class",12687,"class"
"law",12678,"law"
"favorite",12662,"favorite"
"plan",12604,"plan"
"american",12601,"american"
"forward",12600,"forward"
"else",12597,"else"
"become",12578,"become"
"miss",12557,"miss"
"according",12536,"according"
"p.m",12530,"p.m"
"w",12470,"w"
"beautiful",12450,"beautiful"
"playing",12416,"playing"
"women",12390,"women"
"lost",12359,"lost"
"national",12329,"national"
"d",12300,"d"
"government",12285,"government"
"cool",12266,"cool"
"finally",12240,"finally"
"area",12149,"area"
"pay",12132,"pay"
"country",12127,"country"
"health",12115,"health"
"summer",12108,"summer"
"yeah",12065,"yeah"
"guy",12027,"guy"
"haha",12021,"haha"
"movie",11952,"movie"
"following",11945,"following"
"stay",11916,"stay"
"saturday",11908,"saturday"
"power",11889,"power"
"what's",11886,"what's"
"late",11880,"late"
"sometimes",11875,"sometimes"
"wish",11868,"wish"
"couple",11711,"couple"
"community",11702,"community"
"instead",11676,"instead"
"needs",11665,"needs"
"bring",11611,"bring"
"street",11567,"street"
"move",11522,"move"
"important",11521,"important"
"add",11508,"add"
"leave",11476,"leave"
"close",11418,"close"
"saying",11412,"saying"
"monday",11406,"monday"
"looks",11397,"looks"
"won't",11364,"won't"
"quite",11299,"quite"
"thinking",11284,"thinking"
"sunday",11274,"sunday"
"red",11272,"red"
"words",11253,"words"
"cut",11240,"cut"
"means",11223,"means"
"special",11187,"special"
"series",11159,"series"
"park",11157,"park"
"list",11136,"list"
"john",11136,"john"
"ask",11135,"ask"
"road",11129,"road"
"former",11113,"former"
"seems",11048,"seems"
"word",11033,"word"
"court",11025,"court"
"share",11015,"share"
"baby",10968,"baby"
"program",10962,"program"
"whether",10907,"whether"
"outside",10898,"outside"
"men",10898,"men"
"phone",10828,"phone"
"behind",10795,"behind"
"running",10749,"running"
"stuff",10749,"stuff"
"hand",10724,"hand"
"information",10717,"information"
"writing",10713,"writing"
"experience",10703,"experience"
"hate",10700,"hate"
"books",10647,"books"
"excited",10630,"excited"
"service",10629,"service"
"knew",10624,"knew"
"heard",10615,"heard"
"buy",10601,"buy"
"problem",10583,"problem"
"april",10573,"april"
"project",10556,"project"
"either",10534,"either"
"reading",10486,"reading"
"turn",10484,"turn"
"light",10470,"light"
"college",10458,"college"
"birthday",10447,"birthday"
"film",10377,"film"
"gonna",10373,"gonna"
"rather",10349,"rather"
"system",10327,"system"
"hot",10318,"hot"
"board",10295,"board"
"deal",10290,"deal"
"future",10266,"future"
"song",10229,"song"
"easy",10217,"easy"
"meet",10215,"meet"
"wrong",10203,"wrong"
"event",10202,"event"
"enjoy",10187,"enjoy"
"reason",10182,"reason"
"order",10169,"order"
"history",10161,"history"
"talking",10156,"talking"
"question",10138,"question"
"gets",10106,"gets"
"york",10095,"york"
"members",10087,"members"
"woman",10059,"woman"
"university",10053,"university"
"given",10048,"given"
"mom",9998,"mom"
"feeling",9963,"feeling"
"perfect",9939,"perfect"
"beer",9926,"beer"
"social",9877,"social"
"across",9876,"across"
"rest",9842,"rest"
"let's",9834,"let's"
"goes",9820,"goes"
"gave",9818,"gave"
"moment",9817,"moment"
"body",9787,"body"
"art",9772,"art"
"especially",9717,"especially"
"ok",9714,"ok"
"living",9714,"living"
"decided",9698,"decided"
"front",9679,"front"
"thursday",9647,"thursday"
"felt",9637,"felt"
"matter",9623,"matter"
"among",9558,"among"
"parents",9535,"parents"
"she's",9527,"she's"
"needed",9502,"needed"
"points",9499,"points"
"south",9497,"south"
"video",9495,"video"
"six",9486,"six"
"chance",9473,"chance"
"tuesday",9441,"tuesday"
"mother",9431,"mother"
"green",9385,"green"
"child",9384,"child"
"market",9369,"market"
"taken",9334,"taken"
"bill",9324,"bill"
"girls",9320,"girls"
"death",9300,"death"
"short",9289,"short"
"large",9287,"large"
"mr",9285,"mr"
"fall",9283,"fall"
"sleep",9274,"sleep"
"san",9265,"san"
"third",9256,"third"
"played",9242,"played"
"meeting",9230,"meeting"
"couldn't",9229,"couldn't"
"haven't",9207,"haven't"
"sorry",9193,"sorry"
"states",9193,"states"
"final",9190,"final"
"although",9157,"although"
"building",9110,"building"
"guess",9077,"guess"
"coach",9064,"coach"
"sweet",9032,"sweet"
"media",9016,"media"
"eat",9013,"eat"
"wants",8995,"wants"
"officials",8971,"officials"
"available",8959,"available"
"town",8949,"town"
"north",8939,"north"
"hour",8879,"hour"
"tweet",8871,"tweet"
"within",8856,"within"
"lead",8846,"lead"
"starting",8769,"starting"
"write",8756,"write"
"lives",8736,"lives"
"added",8735,"added"
"store",8718,"store"
"spring",8705,"spring"
"march",8690,"march"
"possible",8644,"possible"
"card",8627,"card"
"near",8610,"near"
"report",8609,"report"
"walk",8597,"walk"
"fans",8588,"fans"
"tried",8585,"tried"
"learn",8582,"learn"
"federal",8553,"federal"
"shit",8548,"shit"
"cause",8542,"cause"
"known",8535,"known"
"fire",8525,"fire"
"visit",8519,"visit"
"yourself",8513,"yourself"
"director",8512,"director"
"pick",8500,"pick"
"wednesday",8497,"wednesday"
"players",8478,"players"
"process",8456,"process"
"won",8451,"won"
"turned",8446,"turned"
"obama",8437,"obama"
"inside",8422,"inside"
"gone",8416,"gone"
"understand",8411,"understand"
"works",8396,"works"
"district",8391,"district"
"paper",8385,"paper"
"online",8375,"online"
"sense",8366,"sense"
"happen",8360,"happen"
"single",8326,"single"
"shot",8317,"shot"
"eyes",8310,"eyes"
"department",8303,"department"
"west",8302,"west"
"break",8292,"break"
"tax",8247,"tax"
"dinner",8234,"dinner"
"son",8206,"son"
"spent",8205,"spent"
"space",8153,"space"
"major",8129,"major"
"church",8113,"church"
"looked",8112,"looked"
"field",8094,"field"
"hair",8085,"hair"
"welcome",8066,"welcome"
"bed",8065,"bed"
"drive",8047,"drive"
"issue",8035,"issue"
"takes",8017,"takes"
"tv",8016,"tv"
"glad",7997,"glad"
"loved",7988,"loved"
"wonderful",7971,"wonderful"
"strong",7968,"strong"
"christmas",7966,"christmas"
"crazy",7965,"crazy"
"worked",7952,"worked"
"interesting",7947,"interesting"
"happened",7942,"happened"
"based",7892,"based"
"seeing",7891,"seeing"
"per",7882,"per"
"general",7875,"general"
"wouldn't",7874,"wouldn't"
"record",7842,"record"
"boy",7835,"boy"
"site",7830,"site"
"we've",7810,"we've"
"we'll",7783,"we'll"
"rock",7772,"rock"
"age",7764,"age"
"worth",7762,"worth"
"huge",7757,"huge"
"clear",7738,"clear"
"nearly",7729,"nearly"
"himself",7717,"himself"
"you'll",7636,"you'll"
"recent",7636,"recent"
"jobs",7610,"jobs"
"trip",7599,"trip"
"schools",7591,"schools"
"political",7556,"political"
"picture",7547,"picture"
"air",7539,"air"
"recently",7539,"recently"
"definitely",7534,"definitely"
"control",7525,"control"
"plans",7511,"plans"
"giving",7509,"giving"
"ones",7503,"ones"
"questions",7501,"questions"
"sounds",7501,"sounds"
"human",7494,"human"
"level",7487,"level"
"longer",7479,"longer"
"shows",7466,"shows"
"hold",7464,"hold"
"wife",7463,"wife"
"funny",7456,"funny"
"waiting",7429,"waiting"
"lots",7426,"lots"
"create",7417,"create"
"b",7406,"b"
"email",7404,"email"
"send",7393,"send"
"began",7383,"began"
"war",7382,"war"
"ohio",7373,"ohio"
"facebook",7366,"facebook"
"yesterday",7357,"yesterday"
"challenge",7340,"challenge"
"likely",7337,"likely"
"seem",7331,"seem"
"continue",7326,"continue"
"cost",7326,"cost"
"super",7280,"super"
"personal",7278,"personal"
"services",7271,"services"
"perhaps",7258,"perhaps"
"simply",7252,"simply"
"education",7250,"education"
"energy",7229,"energy"
"wow",7220,"wow"
"above",7214,"above"
"finished",7193,"finished"
"middle",7162,"middle"
"act",7157,"act"
"club",7157,"club"
"race",7140,"race"
"issues",7112,"issues"
"father",7107,"father"
"fine",7073,"fine"
"brown",7066,"brown"
"page",7062,"page"
"held",7051,"held"
"blue",7045,"blue"
"door",7009,"door"
"washington",6991,"washington"
"conference",6977,"conference"
"usually",6973,"usually"
"return",6966,"return"
"ways",6965,"ways"
"goal",6948,"goal"
"n",6916,"n"
"themselves",6911,"themselves"
"include",6902,"include"
"wine",6883,"wine"
"fan",6882,"fan"
"bar",6858,"bar"
"sound",6836,"sound"
"sent",6835,"sent"
"met",6833,"met"
"america",6826,"america"
"hands",6820,"hands"
"cover",6814,"cover"
"a.m",6803,"a.m"
"earlier",6784,"earlier"
"dog",6772,"dog"
"campaign",6758,"campaign"
"lunch",6744,"lunch"
"weather",6738,"weather"
"career",6718,"career"
"cannot",6716,"cannot"
"you've",6714,"you've"
"simple",6701,"simple"
"coffee",6692,"coffee"
"ball",6688,"ball"
"answer",6687,"answer"
"knows",6666,"knows"
"jersey",6659,"jersey"
"decision",6656,"decision"
"companies",6655,"companies"
"band",6652,"band"
"stand",6650,"stand"
"expected",6648,"expected"
"offer",6643,"offer"
"ya",6640,"ya"
"price",6628,"price"
"player",6616,"player"
"chicago",6616,"chicago"
"aren't",6604,"aren't"
"research",6592,"research"
"brought",6584,"brought"
"round",6582,"round"
"piece",6578,"piece"
"problems",6574,"problems"
"dead",6570,"dead"
"cold",6548,"cold"
"cleveland",6528,"cleveland"
"feet",6513,"feet"
"spend",6510,"spend"
"jesus",6503,"jesus"
"action",6501,"action"
"became",6495,"became"
"design",6488,"design"
"voice",6472,"voice"
"oil",6455,"oil"
"sign",6453,"sign"
"wanna",6452,"wanna"
"united",6451,"united"
"website",6443,"website"
"hell",6441,"hell"
"moving",6437,"moving"
"wrote",6436,"wrote"
"heat",6435,"heat"
"east",6428,"east"
"boys",6418,"boys"
"due",6418,"due"
"step",6399,"step"
"husband",6362,"husband"
"forget",6358,"forget"
"join",6355,"join"
"ur",6352,"ur"
"sales",6346,"sales"
"current",6338,"current"
"whatever",6327,"whatever"
"wonder",6326,"wonder"
"david",6325,"david"
"vote",6312,"vote"
"mark",6290,"mark"
"okay",6289,"okay"
"save",6286,"save"
"attention",6283,"attention"
"entire",6279,"entire"
"budget",6272,"budget"
"june",6271,"june"
"fight",6268,"fight"
"beat",6264,"beat"
"whose",6264,"whose"
"main",6250,"main"
"success",6244,"success"
"alone",6233,"alone"
"example",6227,"example"
"form",6212,"form"
"pass",6209,"pass"
"received",6209,"received"
"ass",6189,"ass"
"dark",6186,"dark"
"exactly",6185,"exactly"
"james",6176,"james"
"damn",6175,"damn"
"stories",6170,"stories"
"staff",6163,"staff"
"billion",6133,"billion"
"moved",6103,"moved"
"fuck",6098,"fuck"
"died",6083,"died"
"o",6076,"o"
"c",6073,"c"
"training",6072,"training"
"la",6071,"la"
"dont",6070,"dont"
"football",6066,"football"
"provide",6061,"provide"
"luck",6054,"luck"
"seriously",6054,"seriously"
"choice",6041,"choice"
"low",6029,"low"
"star",5999,"star"
"cup",5996,"cup"
"events",5996,"events"
"drink",5993,"drink"
"key",5977,"key"
"fresh",5962,"fresh"
"led",5960,"led"
"p",5942,"p"
"daughter",5926,"daughter"
"table",5926,"table"
"louis",5925,"louis"
"dr",5919,"dr"
"date",5900,"date"
"paid",5897,"paid"
"difficult",5894,"difficult"
"r",5894,"r"
"despite",5881,"despite"
"opportunity",5874,"opportunity"
"sad",5865,"sad"
"sun",5864,"sun"
"teams",5859,"teams"
"practice",5853,"practice"
"certain",5846,"certain"
"completely",5842,"completely"
"bought",5839,"bought"
"interest",5838,"interest"
"mine",5809,"mine"
"details",5804,"details"
"missed",5803,"missed"
"california",5794,"california"
"financial",5793,"financial"
"afternoon",5789,"afternoon"
"league",5775,"league"
"learned",5772,"learned"
"ideas",5758,"ideas"
"focus",5756,"focus"
"note",5755,"note"
"quickly",5753,"quickly"
"busy",5752,"busy"
"paul",5751,"paul"
"student",5750,"student"
"pictures",5746,"pictures"
"seven",5730,"seven"
"loss",5730,"loss"
"study",5724,"study"
"fast",5719,"fast"
"medical",5713,"medical"
"style",5710,"style"
"sports",5704,"sports"
"view",5693,"view"
"dream",5685,"dream"
"council",5676,"council"
"press",5664,"press"
"development",5649,"development"
"bowl",5649,"bowl"
"created",5634,"created"
"character",5632,"character"
"upon",5632,"upon"
"written",5625,"written"
"position",5621,"position"
"learning",5598,"learning"
"hospital",5593,"hospital"
"itself",5584,"itself"
"sitting",5581,"sitting"
"deep",5577,"deep"
"followed",5576,"followed"
"comment",5560,"comment"
"track",5555,"track"
"totally",5548,"totally"
"extra",5545,"extra"
"changes",5536,"changes"
"opening",5534,"opening"
"michael",5533,"michael"
"ground",5531,"ground"
"role",5529,"role"
"anyway",5529,"anyway"
"evening",5527,"evening"
"complete",5523,"complete"
"involved",5519,"involved"
"truth",5507,"truth"
"dance",5494,"dance"
"test",5475,"test"
"further",5474,"further"
"international",5466,"international"
"industry",5464,"industry"
"kept",5461,"kept"
"hall",5456,"hall"
"lose",5452,"lose"
"private",5448,"private"
"wall",5445,"wall"
"color",5440,"color"
"cute",5439,"cute"
"safe",5436,"safe"
"daily",5428,"daily"
"plus",5426,"plus"
"chicken",5425,"chicken"
"finish",5424,"finish"
"changed",5424,"changed"
"judge",5422,"judge"
"member",5419,"member"
"gotta",5417,"gotta"
"box",5412,"box"
"serious",5406,"serious"
"workers",5402,"workers"
"type",5401,"type"
"security",5397,"security"
"release",5390,"release"
"brother",5381,"brother"
"beach",5376,"beach"
"similar",5362,"similar"
"chief",5361,"chief"
"expect",5358,"expect"
"force",5358,"force"
"listen",5354,"listen"
"message",5345,"message"
"miles",5339,"miles"
"agree",5338,"agree"
"restaurant",5333,"restaurant"
"helped",5323,"helped"
"land",5307,"land"
"eating",5306,"eating"
"total",5297,"total"
"kid",5295,"kid"
"higher",5295,"higher"
"figure",5284,"figure"
"chocolate",5276,"chocolate"
"photos",5274,"photos"
"begin",5273,"begin"
"original",5271,"original"
"photo",5269,"photo"
"released",5269,"released"
"economy",5266,"economy"
"allowed",5266,"allowed"
"ahead",5264,"ahead"
"etc",5264,"etc"
"spending",5263,"spending"
"relationship",5261,"relationship"
"followers",5250,"followers"
"amount",5250,"amount"
"below",5236,"below"
"here's",5233,"here's"
"average",5232,"average"
"economic",5230,"economic"
"allow",5226,"allow"
"certainly",5226,"certainly"
"dad",5226,"dad"
"performance",5220,"performance"
"beginning",5218,"beginning"
"stage",5216,"stage"
"statement",5216,"statement"
"gift",5212,"gift"
"wear",5210,"wear"
"feels",5207,"feels"
"tour",5200,"tour"
"starts",5198,"starts"
"bank",5195,"bank"
"straight",5189,"straight"
"rain",5183,"rain"
"floor",5180,"floor"
"eye",5171,"eye"
"pain",5169,"pain"
"ice",5169,"ice"
"omg",5169,"omg"
"sit",5166,"sit"
"places",5165,"places"
"rights",5163,"rights"
"seemed",5159,"seemed"
"tired",5151,"tired"
"tickets",5151,"tickets"
"title",5149,"title"
"interested",5142,"interested"
"runs",5128,"runs"
"gives",5119,"gives"
"walking",5106,"walking"
"beyond",5100,"beyond"
"sister",5095,"sister"
"shop",5091,"shop"
"calls",5091,"calls"
"portland",5086,"portland"
"speak",5078,"speak"
"data",5071,"data"
"growing",5068,"growing"
"text",5064,"text"
"version",5054,"version"
"chris",5053,"chris"
"defense",5052,"defense"
"spot",5050,"spot"
"july",5044,"july"
"passed",5038,"passed"
"leaving",5038,"leaving"
"account",5023,"account"
"situation",5020,"situation"
"biggest",5008,"biggest"
"fell",5008,"fell"
"manager",5007,"manager"
"cheese",5004,"cheese"
"rate",4997,"rate"
"congrats",4994,"congrats"
"lord",4978,"lord"
"ha",4971,"ha"
"die",4963,"die"
"sick",4959,"sick"
"period",4957,"period"
"album",4956,"album"
"scene",4955,"scene"
"sort",4953,"sort"
"listening",4949,"listening"
"driving",4949,"driving"
"quality",4947,"quality"
"oregon",4942,"oregon"
"garden",4941,"garden"
"cream",4940,"cream"
"executive",4940,"executive"
"truly",4936,"truly"
"result",4935,"result"
"review",4934,"review"
"hi",4931,"hi"
"quick",4930,"quick"
"eight",4930,"eight"
"consider",4926,"consider"
"happens",4926,"happens"
"property",4923,"property"
"internet",4921,"internet"
"fair",4916,"fair"
"born",4908,"born"
"clean",4894,"clean"
"trust",4892,"trust"
"hotel",4888,"hotel"
"present",4888,"present"
"senior",4885,"senior"
"increase",4884,"increase"
"poor",4876,"poor"
"contact",4875,"contact"
"interview",4867,"interview"
"blood",4857,"blood"
"ended",4852,"ended"
"de",4849,"de"
"build",4833,"build"
"earth",4831,"earth"
"natural",4827,"natural"
"hurt",4818,"hurt"
"republican",4815,"republican"
"catch",4807,"catch"
"proud",4805,"proud"
"named",4804,"named"
"reported",4802,"reported"
"common",4788,"common"
"lovely",4783,"lovely"
"employees",4774,"employees"
"hearing",4771,"hearing"
"killed",4771,"killed"
"results",4770,"results"
"river",4769,"river"
"choose",4752,"choose"
"thoughts",4752,"thoughts"
"songs",4751,"songs"
"fear",4749,"fear"
"taste",4743,"taste"
"projects",4743,"projects"
"ran",4742,"ran"
"potential",4742,"potential"
"effort",4737,"effort"
"credit",4724,"credit"
"sale",4723,"sale"
"rose",4719,"rose"
"throughout",4710,"throughout"
"characters",4710,"characters"
"mix",4709,"mix"
"mention",4692,"mention"
"king",4686,"king"
"lady",4686,"lady"
"library",4683,"library"
"asking",4680,"asking"
"absolutely",4667,"absolutely"
"size",4655,"size"
"winning",4655,"winning"
"grow",4651,"grow"
"costs",4644,"costs"
"products",4641,"products"
"winter",4641,"winter"
"rules",4637,"rules"
"radio",4636,"radio"
"tough",4628,"tough"
"cake",4627,"cake"
"sold",4624,"sold"
"safety",4617,"safety"
"imagine",4615,"imagine"
"planning",4614,"planning"
"fit",4602,"fit"
"mike",4595,"mike"
"ride",4592,"ride"
"value",4589,"value"
"warm",4586,"warm"
"union",4583,"union"
"telling",4576,"telling"
"families",4563,"families"
"attorney",4559,"attorney"
"sex",4558,"sex"
"mostly",4558,"mostly"
"enjoyed",4557,"enjoyed"
"central",4551,"central"
"sat",4548,"sat"
"society",4542,"society"
"kitchen",4537,"kitchen"
"putting",4533,"putting"
"cards",4529,"cards"
"link",4528,"link"
"article",4527,"article"
"minute",4526,"minute"
"committee",4525,"committee"
"included",4524,"included"
"computer",4520,"computer"
"block",4516,"block"
"difference",4515,"difference"
"gas",4514,"gas"
"groups",4507,"groups"
"hoping",4497,"hoping"
"sugar",4487,"sugar"
"reach",4483,"reach"
"wearing",4483,"wearing"
"peace",4470,"peace"
"healthy",4466,"healthy"
"meant",4463,"meant"
"onto",4460,"onto"
"m",4460,"m"
"showed",4459,"showed"
"opened",4458,"opened"
"includes",4458,"includes"
"sell",4456,"sell"
"double",4453,"double"
"travel",4452,"travel"
"official",4443,"official"
"holiday",4442,"holiday"
"texas",4426,"texas"
"apparently",4423,"apparently"
"regular",4423,"regular"
"teacher",4411,"teacher"
"base",4408,"base"
"t",4404,"t"
"annual",4396,"annual"
"realize",4395,"realize"
"toward",4394,"toward"
"reality",4393,"reality"
"worst",4393,"worst"
"serve",4392,"serve"
"missing",4389,"missing"
"announced",4389,"announced"
"growth",4389,"growth"
"popular",4388,"popular"
"via",4384,"via"
"leaders",4375,"leaders"
"touch",4374,"touch"
"currently",4372,"currently"
"bottom",4360,"bottom"
"quarter",4355,"quarter"
"smith",4345,"smith"
"image",4339,"image"
"smile",4332,"smile"
"weight",4332,"weight"
"immediately",4329,"immediately"
"supposed",4326,"supposed"
