"","Count","Words"
"the",2406254,"the"
"to",1373059,"to"
"and",1232437,"and"
"a",1191206,"a"
"of",1020388,"of"
"in",824603,"in"
"i",815225,"i"
"for",538867,"for"
"is",533365,"is"
"that",527489,"that"
"it",458534,"it"
"you",445695,"you"
"on",402553,"on"
"with",359175,"with"
"was",318226,"was"
"my",296141,"my"
"at",280726,"at"
"this",273874,"this"
"be",269831,"be"
"have",264452,"have"
"as",247456,"as"
"but",244024,"but"
"are",243999,"are"
"he",217825,"he"
"we",208918,"we"
"not",204783,"not"
"from",192366,"from"
"so",187916,"so"
"me",177147,"me"
"all",164177,"all"
"they",163249,"they"
"by",158913,"by"
"or",158503,"or"
"will",156308,"will"
"his",153551,"his"
"said",151382,"said"
"an",150009,"an"
"just",147439,"just"
"about",146860,"about"
"out",145367,"out"
"one",145299,"one"
"your",143449,"your"
"up",142966,"up"
"if",137590,"if"
"what",136725,"what"
"when",131910,"when"
"has",131536,"has"
"like",131204,"like"
"who",125206,"who"
"more",121881,"more"
"can",121632,"can"
"had",118349,"had"
"do",117667,"do"
"it's",112990,"it's"
"get",108673,"get"
"her",107954,"her"
"there",106712,"there"
"time",106264,"time"
"their",104659,"their"
"would",102984,"would"
"i'm",102139,"i'm"
"she",101326,"she"
"some",101301,"some"
"no",97829,"no"
"been",95061,"been"
"new",94659,"new"
"our",93139,"our"
"were",91022,"were"
"now",86969,"now"
"how",85586,"how"
"good",84291,"good"
"them",82336,"them"
"day",80211,"day"
"know",79055,"know"
"people",78964,"people"
"don't",78157,"don't"
"which",75112,"which"
"love",75000,"love"
"than",69892,"than"
"back",69505,"back"
"into",68616,"into"
"first",67683,"first"
"see",67308,"see"
"after",66992,"after"
"go",66956,"go"
"also",66587,"also"
"other",64533,"other"
"make",64176,"make"
"only",63341,"only"
"its",62863,"its"
"then",62804,"then"
"over",62764,"over"
"think",61314,"think"
"last",61288,"last"
"because",61251,"because"
"going",61007,"going"
"him",60838,"him"
"much",59215,"much"
"two",58458,"two"
"us",58134,"us"
"great",57464,"great"
"really",56577,"really"
"could",56398,"could"
"year",55877,"year"
"way",55714,"way"
"too",55128,"too"
"even",55045,"even"
"well",54617,"well"
"want",52153,"want"
"got",51827,"got"
"work",51607,"work"
"did",51417,"did"
"today",50734,"today"
"still",50493,"still"
"right",49533,"right"
"where",49224,"where"
"here",48930,"here"
"off",48037,"off"
"very",47891,"very"
"am",47480,"am"
"years",47342,"years"
"most",47223,"most"
"need",46660,"need"
"any",46637,"any"
"before",45311,"before"
"many",44962,"many"
"those",44822,"those"
"life",44236,"life"
"down",43952,"down"
"these",43371,"these"
"being",42872,"being"
"thanks",42794,"thanks"
"say",42591,"say"
"take",42542,"take"
"made",42178,"made"
"little",42177,"little"
"should",41507,"should"
"never",40299,"never"
"home",39956,"home"
"come",39951,"come"
"may",39850,"may"
"while",39803,"while"
"through",39780,"through"
"that's",39718,"that's"
"rt",37932,"rt"
"things",37636,"things"
"next",37634,"next"
"best",37488,"best"
"week",37480,"week"
"why",36851,"why"
"can't",36466,"can't"
"night",35974,"night"
"something",35970,"something"
"school",35486,"school"
"around",34005,"around"
"another",33590,"another"
"u",33445,"u"
"game",33332,"game"
"always",33304,"always"
"every",32989,"every"
"didn't",32501,"didn't"
"state",32414,"state"
"world",32303,"world"
"i've",32221,"i've"
"better",32046,"better"
"look",31811,"look"
"lol",31228,"lol"
"show",30767,"show"
"happy",30727,"happy"
"long",30669,"long"
"few",30492,"few"
"big",30220,"big"
"since",30127,"since"
"again",29751,"again"
"you're",29736,"you're"
"same",29236,"same"
"such",28977,"such"
"three",28890,"three"
"man",28724,"man"
"feel",28595,"feel"
"city",28475,"city"
"thing",27764,"thing"
"help",27746,"help"
"own",27723,"own"
"find",27589,"find"
"use",27559,"use"
"sure",27308,"sure"
"lot",26940,"lot"
"hope",26663,"hope"
"days",26391,"days"
"each",26219,"each"
"both",26003,"both"
"does",25890,"does"
"place",25810,"place"
"getting",25717,"getting"
"says",25675,"says"
"house",25581,"house"
"keep",25523,"keep"
"family",25471,"family"
"put",25318,"put"
"ever",25290,"ever"
"part",25287,"part"
"until",25244,"until"
"follow",24755,"follow"
"though",24582,"though"
"team",24433,"team"
"give",24182,"give"
"let",24089,"let"
"end",24062,"end"
"book",23643,"book"
"away",23618,"away"
"old",23583,"old"
"looking",23469,"looking"
"doing",23369,"doing"
"used",23309,"used"
"might",23244,"might"
"play",23103,"play"
"thought",22409,"thought"
"during",22400,"during"
"tonight",22182,"tonight"
"thank",22098,"thank"
"high",21960,"high"
"start",21886,"start"
"i'll",21835,"i'll"
"went",21833,"went"
"morning",21809,"morning"
"he's",21767,"he's"
"everyone",21732,"everyone"
"found",21724,"found"
"left",21687,"left"
"without",21531,"without"
"free",21389,"free"
"done",21215,"done"
"season",21200,"season"
"yes",20901,"yes"
"friends",20892,"friends"
"oh",20847,"oh"
"doesn't",20635,"doesn't"
"money",20594,"money"
"told",20563,"told"
"fun",20539,"fun"
"enough",20493,"enough"
"having",20461,"having"
"god",20443,"god"
"against",20433,"against"
"someone",20293,"someone"
"times",20278,"times"
"between",20244,"between"
"came",20189,"came"
"call",20162,"call"
"tell",19806,"tell"
"we're",19783,"we're"
"hard",19576,"hard"
"making",19576,"making"
"yet",19558,"yet"
"live",19503,"live"
"please",19277,"please"
"bad",19269,"bad"
